"State Code","Year","Beach ID","Beach Name","County","Swim SeasonStart Date","Swim SeasonEnd Date","ReportingFrequency","ReportingUnits","Activity Sample","Actual StartDate","Actual StopDate","Action Duration","Description Text","Comment Text","Action Reason","Action Source","Action Indicator"
"WI","2021","WI012139","Red Arrow Park Beach Manitowoc","MANITOWOC","-","-","1","PER_YEAR","CONTAM_ADV","28-JUL-20","28-JUL-20","1","-","-","ELEV_BACT","UNKNOWN","ECOLI"
"WI","2021","WI012139","Red Arrow Park Beach Manitowoc","MANITOWOC","-","-","1","PER_YEAR","CONTAM_ADV","13-AUG-20","13-AUG-20","1","-","-","ELEV_BACT","UNKNOWN","ECOLI"
"WI","2021","WI012139","Red Arrow Park Beach Manitowoc","MANITOWOC","-","-","1","PER_YEAR","CONTAM_ADV","12-AUG-20","12-AUG-20","1","-","-","ELEV_BACT","UNKNOWN","ECOLI"
"WI","2021","WI012139","Red Arrow Park Beach Manitowoc","MANITOWOC","-","-","1","PER_YEAR","Advisory","28-AUG-03","29-AUG-03","1","-","-","ELEV_BACT","UNKNOWN","ECOLI"
"WI","2021","WI012139","Red Arrow Park Beach Manitowoc","MANITOWOC","-","-","1","PER_YEAR","Advisory","21-AUG-03","22-AUG-03","1","-","-","ELEV_BACT","UNKNOWN","ECOLI"
"WI","2021","WI012139","Red Arrow Park Beach Manitowoc","MANITOWOC","-","-","1","PER_YEAR","Advisory","25-AUG-03","26-AUG-03","1","-","-","ELEV_BACT","UNKNOWN","ECOLI"
"WI","2021","WI012139","Red Arrow Park Beach Manitowoc","MANITOWOC","-","-","1","PER_YEAR","Advisory","26-AUG-03","27-AUG-03","1","-","-","ELEV_BACT","UNKNOWN","ECOLI"
"WI","2021","WI012139","Red Arrow Park Beach Manitowoc","MANITOWOC","-","-","1","PER_YEAR","Advisory","18-AUG-03","19-AUG-03","1","-","-","ELEV_BACT","UNKNOWN","ECOLI"
"WI","2021","WI012139","Red Arrow Park Beach Manitowoc","MANITOWOC","-","-","1","PER_YEAR","Advisory","19-AUG-03","20-AUG-03","1","-","-","ELEV_BACT","UNKNOWN","ECOLI"
"WI","2021","WI012139","Red Arrow Park Beach Manitowoc","MANITOWOC","28-MAY-18","03-SEP-18","1","PER_YEAR","CONTAM_ADV","18-AUG-12","18-AUG-12","1","-","-","ELEV_BACT","UNKNOWN","ECOLI"
